Dia;Hora;GHI;cantidad;GHI_prom
1.0;6.0;0.0;1;0.0
1.0;7.0;202.5363211031766;27;7.501345226043577
1.0;8.0;5.171140113272592;10;0.5171140113272592
1.0;9.0;1339.448411721251;59;22.70251545290256
1.0;10.0;3941.1475006156124;60;65.68579167692687
1.0;11.0;4540.876631371582;60;75.68127718952637
1.0;12.0;10724.082738241812;60;178.7347123040302
1.0;13.0;11869.859640482638;60;197.83099400804397
1.0;14.0;9231.346958877126;60;153.8557826479521
1.0;15.0;4008.1260773208555;60;66.80210128868093
1.0;16.0;2622.9992612656984;60;43.71665435442831
1.0;17.0;2402.117704998769;60;40.03529508331282
1.0;18.0;2940.655011081015;60;49.010916851350245
1.0;19.0;1531.0268406796354;58;26.397014494476473
2.0;7.0;865.3041122876137;57;15.180773899782697
2.0;8.0;2645.407535089879;60;44.09012558483131
2.0;9.0;5851.514405318885;60;97.52524008864809
2.0;10.0;9506.525486333414;60;158.44209143889023
2.0;11.0;15141.467618813096;60;252.35779364688494
2.0;12.0;13682.221127801033;60;228.03701879668387
2.0;13.0;4943.6099482886;60;82.39349913814334
2.0;14.0;4848.066978576704;60;80.80111630961173
2.0;15.0;3520.930805220389;60;58.682180087006486
2.0;16.0;5471.435606993351;60;91.19059344988918
2.0;17.0;3966.6338340310253;59;67.23108193272924
2.0;18.0;39.02979561684313;12;3.252482968070261
2.0;19.0;9.357301157350406;4;2.3393252893376015
3.0;7.0;568.4560453090372;32;17.764251415907413
3.0;8.0;5549.495198227037;60;92.49158663711728
3.0;9.0;12772.100467865059;60;212.86834113108432
3.0;10.0;22447.05737503078;60;374.1176229171797
3.0;11.0;31902.363949766066;60;531.7060658294345
3.0;12.0;42354.71558729376;60;705.9119264548959
3.0;13.0;53986.21029303127;60;899.7701715505211
3.0;14.0;56361.61044077814;60;939.360174012969
3.0;15.0;45736.76434375767;60;762.2794057292945
3.0;16.0;38150.94804235411;60;635.8491340392352
3.0;17.0;23504.801772962328;60;391.7466962160388
3.0;18.0;7604.161536567345;60;126.73602560945575
3.0;19.0;1807.8059591233691;56;32.28224927006016
4.0;7.0;4323.811868997784;57;75.85634857890848
4.0;8.0;14730.115735040625;60;245.50192891734375
4.0;9.0;26650.824919970437;60;444.1804153328406
4.0;10.0;29100.344742674224;60;485.00574571123707
4.0;11.0;32059.591233686286;60;534.3265205614381
4.0;12.0;37383.40310268408;60;623.056718378068
4.0;13.0;36521.42329475499;60;608.6903882459166
4.0;14.0;51071.780349667555;60;851.1963391611259
4.0;15.0;38332.061068702285;60;638.8676844783714
4.0;16.0;31143.560699335132;60;519.0593449889188
4.0;17.0;16795.73996552573;60;279.9289994254288
4.0;18.0;5293.400640236395;60;88.22334400393991
4.0;19.0;228.51514405318883;19;12.027112844904675
5.0;7.0;2139.62078305836;46;46.51349528387739
5.0;8.0;13876.13888204876;60;231.2689813674793
5.0;9.0;26460.23147008126;60;441.00385783468766
5.0;10.0;33039.152918000495;60;550.6525486333416
5.0;11.0;46209.431174587546;60;770.1571862431258
5.0;12.0;49766.683082984455;60;829.4447180497409
5.0;13.0;44741.196749569084;60;745.6866124928181
5.0;14.0;51602.560945579884;60;860.0426824263315
5.0;15.0;45029.42624969218;60;750.4904374948696
5.0;16.0;22637.404580152674;60;377.29007633587787
5.0;17.0;23036.074858409258;60;383.93458097348764
5.0;18.0;6870.598374784536;60;114.5099729130756
5.0;19.0;874.1689239103669;28;31.22031871108453
