PeriodStart;PeriodEnd;Period;AirTemp;Azimuth;CloudOpacity;DewpointTemp;Dhi;Dni;Ebh;Ghi;PrecipitableWater;RelativeHumidity;SnowWater;SurfacePressure;WindDirection10m;WindSpeed10m;Zenith;AlbedoDaily
2013-01-01T00:00:00Z;2013-01-01T01:00:00Z;PT60M;21.6;126;56;19;0;0;0;0;33.4;84.8;0;805.1;118;2.1;106;0.14
2013-01-01T01:00:00Z;2013-01-01T02:00:00Z;PT60M;20.5;135;71;18.7;0;0;0;0;33.7;89.7;0;805.9;125;1.7;116;0.14
2013-01-01T02:00:00Z;2013-01-01T03:00:00Z;PT60M;19.3;148;78.4;18.5;0;0;0;0;33.9;94.7;0;806.7;137;1.3;125;0.14
2013-01-01T03:00:00Z;2013-01-01T04:00:00Z;PT60M;18.6;164;52.7;18.2;0;0;0;0;33.9;97.1;0;806.7;145;1;130;0.14
2013-01-01T04:00:00Z;2013-01-01T05:00:00Z;PT60M;18.3;-178;45.8;17.8;0;0;0;0;33.5;96.6;0;806.1;144;0.6;132;0.14
2013-01-01T05:00:00Z;2013-01-01T06:00:00Z;PT60M;18;-160;70.1;17.4;0;0;0;0;33;96.1;0;805.5;139;0.3;129;0.14
2013-01-01T06:00:00Z;2013-01-01T07:00:00Z;PT60M;17.5;-145;77.8;16.7;0;0;0;0;32.9;95.5;0;805.5;150;1.2;123;0.14
2013-01-01T07:00:00Z;2013-01-01T08:00:00Z;PT60M;16.7;-133;77.6;15.8;0;0;0;0;33;94.8;0;806.2;151;3.3;114;0.14
2013-01-01T08:00:00Z;2013-01-01T09:00:00Z;PT60M;15.8;-124;76.4;14.9;0;0;0;0;33;94;0;807;152;5.4;104;0.14
2013-01-01T09:00:00Z;2013-01-01T10:00:00Z;PT60M;14.9;-117;63.6;13.8;3;0;0;3;31.4;92.9;0;808.5;157;6.3;92;0.14
2013-01-01T10:00:00Z;2013-01-01T11:00:00Z;PT60M;14;-111;76.1;12.6;24;0;0;24;28.2;91.4;0;810.9;167;6;79;0.14
2013-01-01T11:00:00Z;2013-01-01T12:00:00Z;PT60M;13.1;-106;84;11.4;57;0;0;57;25;89.9;0;813.3;178;5.9;66;0.14
2013-01-01T12:00:00Z;2013-01-01T13:00:00Z;PT60M;12.6;-101;78.4;10.4;123;0;0;123;22.8;86.7;0;814.6;185;5.5;53;0.14
2013-01-01T13:00:00Z;2013-01-01T14:00:00Z;PT60M;12.6;-97;87.7;9.7;97;0;0;97;21.7;82.1;0;814.9;188;4.6;40;0.14
2013-01-01T14:00:00Z;2013-01-01T15:00:00Z;PT60M;12.7;-92;87.3;8.9;121;0;0;121;20.6;77.7;0;815.2;192;3.7;26;0.14
