,GHI_prom,Ghi estimado
0,22.70251545290256,3
1,65.68579167692687,24
2,75.68127718952637,57
3,178.7347123040302,123
4,197.830994008044,97
5,153.8557826479521,121
6,66.80210128868093,91
7,43.71665435442831,93
8,40.03529508331282,155
9,49.010916851350245,77
10,26.39701449447648,161
11,15.180773899782697,0
12,44.09012558483131,0
13,97.52524008864808,3
14,158.44209143889023,38
15,252.3577936468849,66
16,228.03701879668387,103
17,82.39349913814334,155
18,80.80111630961173,225
19,58.682180087006486,199
20,91.19059344988918,67
21,67.23108193272924,64
22,17.764251415907413,0
23,92.49158663711728,0
24,212.86834113108432,3
25,374.1176229171797,49
26,531.7060658294345,130
27,705.9119264548959,237
28,899.7701715505211,393
29,939.360174012969,515
30,762.2794057292945,685
31,635.8491340392352,954
32,391.7466962160388,970
33,126.73602560945577,881
34,32.28224927006016,632
35,75.85634857890848,0
36,245.5019289173437,0
37,444.1804153328406,6
38,485.005745711237,133
39,534.3265205614381,364
40,623.056718378068,588
41,608.6903882459166,656
42,851.1963391611259,681
43,638.8676844783714,748
44,519.0593449889188,809
45,279.9289994254288,903
46,88.22334400393991,707
47,46.51349528387739,0
48,231.2689813674793,0
49,441.00385783468766,5
50,550.6525486333416,82
51,770.1571862431258,280
52,829.4447180497409,539
53,745.6866124928181,748
54,860.0426824263315,915
55,750.4904374948696,931
56,377.2900763358778,904
57,383.9345809734877,665
58,114.5099729130756,501
59,70.77279816137239,0
60,243.83977673807763,0
61,495.45267996388407,4
62,378.1416728227857,94
63,148.81186899778376,293
64,354.98850857752603,471
65,416.68923910366897,233
66,176.20454732003614,178
67,122.4698350160059,248
68,75.0056732863054,398
69,59.86210293031272,0
70,222.3754411885414,0
71,362.5030780595911,4
72,663.5660346384306,107
73,826.6457358614462,347
74,916.159812853977,598
75,919.6277599934332,808
76,898.1798407617173,969
77,813.6029713535252,1068
78,663.6070754329802,1098
79,485.6562423048509,1058
80,270.2536321103175,950
81,94.07981766433976,781
82,82.71204556052119,0
83,254.2066814413527,0
84,447.2502667651645,6
85,642.1201674464413,120
86,791.4942953295574,353
87,888.9477140277435,565
88,926.3194615447755,765
89,796.921940408766,889
90,816.8780267585978,1007
91,676.2640564721331,1046
92,500.19904785356647,1034
93,301.37691865714515,926
94,102.09113648440233,757
95,49.89314735990433,2
96,157.7690224082738,40
